Whale-Song,m,求求你退役做主播，没有你我真的不会管这只烂队伍的死活
拉某人-,m,狗爷，勿归！！！！！！！！！！
RFTch,m,我觉得大家不要太偏激，uzi和rng拿到的这些冠军，是彼此共同成就的，没有巅峰the rang，窥屏karsa队长香锅和虎之吸血鬼等英雄还有ming的配合，rng和uzi也拿不到这么多冠军.四年来rng的这些队员本身就是共进退，好比ig的基石是rookie，别说什么uzi快跑这种话了，不可能也不人情
Tuzi先生有胡子,f,嗯.... 老粉想对你说，你做什么选择去哪里老粉都支持。老粉希望你做让你自己最开心，你觉得最正确的选择。RNG那帮憨批管理层和运营，你可以忽视。如果你被喷，还有老粉们替你扛着。
无聊的乔巴灬,m,你不在rng，这些混子不会玩游戏了，退役吧，或者去其他队伍，对了，把小明带过去，不然跟着背题也变fw了
Kirito雄,m,看别人家的VN冠军皮肤出来，太帅
乌兹凤宝电宝桃宝E宝,m,"乌兹乌兹直播了直播了，大半个月了脚该好了，况且直播是坐着的，快快快速度搞起，没有你直播的日子我太饥渴了<span class=""url-icon""><img alt=[二哈] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" style=""width:1em; height:1em;"" /></span>再晚点的话我就要忘了你直播的感觉了！"
三星灯笼,m,"uzi超话来的，谁开的团<span class=""url-icon""><img alt=[怒] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_nu-54e54e160b.png"" style=""width:1em; height:1em;"" /></span>"
大家好我是陈XX,m,lol s1那会我大学，现在已经结婚生子了，那么多年就粉你一个，你去哪队就只看那一队的比赛。现在年龄大了游戏早就不玩了，唯一还在坚持的就是看你比赛。枣哥，你退役我的lol生涯估计也就结束了，但真的自私的希望你能拿个vn的皮肤啊！！！
愤怒的小鬼头biu,m,好好直播，咱别回rng了，退役了粉丝还是支持你
耵福估山,m,"枣子哥这都能被开，太nm惨了<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>"
AugensternZJ,m,没有你的队伍，我已经的粉不动了，再见了rng，我爱的一直是小狗
党的吐槽帝,m,澡子哥对不起。我以为RNG输都是你的锅，结果你是无名英雄。
AarrrRowW丶,m,"枣 虽队危 但锅大 望勿归<span class=""url-icon""><img alt=[二哈] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" style=""width:1em; height:1em;"" /></span>"
To7kr2,m,4.30号合约到期 别续约了狗子 换个有希望的队伍
s小小姜,m,小狗打了8年没证明自己，休息了半年证明了自己。
远青的笛,m,狗子，不行换个队伍吧
犹记年川,f,JDG，IG都可以，转会吧拜托了，我想看你拿冠军再退役，我们的狂小狗求你了。
WickedSmaht,m,"一个Hope都能欺负rng下路了、你要是在他算个屁<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>"
