敖丽heheda,f,"相信你哟……<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span>"
小洁自传,f,"shyshy 加油啊 好好找原因 不要有负担 好好准备 我们夏天见！！！！<span class=""url-icon""><img alt=[羞嗒嗒] src=""//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-f44e8f5688.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[羞嗒嗒] src=""//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-f44e8f5688.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[羞嗒嗒] src=""//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-f44e8f5688.png"" style=""width:1em; height:1em;"" /></span>"
C小姐_Tina,f,别别别，好好休息养好身体，调整调整状态，人总有低谷期，也会有失误，好好调整夏季赛重新开始！加油，不要被热搜那些喷子影响了心态。喜欢你的粉丝喜欢IG的粉丝会一如既往的支持你。别自责。
香呱双,f,"好吧 加油<span class=""url-icon""><img alt=[失望] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-7925938d93.png"" style=""width:1em; height:1em;"" /></span>"
这个世界会好吗yh,m,为什么第三把不远杰斯？？
吃辣就爆炸,f,没关系！我们还是相信你！心理压力不要太大！去看牙医好好休息好好调整！夏天见！！
我也想盘核桃,f,下个赛季，再加油💪
hi还是豪仔呀,m,"shy哥 答应我 对得起自己的天赋好吗<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>职业生涯能有多长呢？rookie还能陪你打几年呢？草！说的我想哭了"
我是西西不是嘻嘻的哇,f,"你技术没有下滑英雄池没有问题 但是要意识到自己的打发和意识是真的会导致输比赛了 输了只觉得是自己操作失误这样是不对的 逆版本英雄别选了 觉得不好玩觉得分奴的英雄不喜欢就不玩这也太任性了 敢抓敢死还能高输出是你的优点但也是整个队伍的软肋 你说过想要在掌声中离开 那就别辜负自己啊<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span>"
我是姚含,m,啥话也不说了，加油吧！
楊楊楊一菀,f,继续加油吧！
七七又在喝奶茶,f,真的要好好调整哦!!相信你夏季赛可以重回状态!!加油!!!!!
憨批给爷闭嘴,f,加油加油加油！相信你！注意身体
甜甜的恋爱宣言,f,"你真的要好好反省  但是我相信你之后会做得更好的 加油<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span>"
FiddleLeaf,f,"你好好的。要记得照顾好自己身体是第一位。加油。我们夏季赛等你<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span>"
乌龙冰奶盖,f,对竞的热情一直只有你一人而已。职业生涯会一直陪你的。
TigerLilyAKA,f,加油啊！夏天再见
花彦屿泽,m,长点心吧shy哥 唉 加油吧
曼居虾滑,f,"所有的不足我们都要承认，状态起伏也是事实，但是我相信失利只是暂时的，不要被失败击垮，我们好好总结调整，夏天重新回来好不好<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-6912791858.png"" style=""width:1em; height:1em;"" /></span>"
99是只小小鸟,f,Shyshy加油！
你就别来烦我_,f,唔……我还是很喜欢你 但是也请你好好调整自己 不要只是说说而已 真的 夏天请让我继续期待你 加油吧
她家甜品真好吃,m,你们是真的在改变，在变本加利的变差。没有了奇迹团，甚至没开团。防守大闸也看不到了，把自己的优势打没了，曾经那些光辉的英雄池看不到了，吸血鬼瑞兹青钢影剑姬马尔船长……数起来都费劲，现在呢，除了射手就剩剑魔杰斯了…s9的道歉让我们很心疼，所以鼓励你，结果呢，唉，以后没有鼓励了…
王鹿子,f,"没有啊！ 调整状态！期待那个天使天神抽血泵！ 真正的粉丝不会在你低谷时离开<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span>永远在 小姜加油💪"
